,Organisation Code,Name,Full Address,Postcode,Contact Telephone Number,Latitude,Longitude
14,D81035,Comberton Surgery,"58 Green End,Comberton, Cambridge, Cambridgeshire, CB23 7DY",CB23 7DY,01223 262500,52.190233325,0.0184849
15,D81036,Priors Field Surgery,"24 High Street, Sutton, Ely, Cambridgeshire, CB6 2RB",CB6 2RB,01353 778208,52.3889836,0.12413565
16,D81037,Bridge Street Medical Centre,"Passage,Off Bridge St, Cambridge,  CB2 3LS",CB2 3LS,01223 652671,52.20774178,0.11885366000000001
17,D81041,Bourn Surgery,"25 Alms Hill,Bourn, Cambridge, Cambridgeshire, CB23 2SH",CB23 2SH,01954 719469,52.192853975,-0.06294875
18,D81042,Waterbeach Surgery,"Bannold Road,Waterbeach, Cambridge, Cambridgeshire, CB25 9LQ",CB25 9LQ,01223 860387,52.27051,0.19593815
19,D81043,Granta Medical Practices,"London Road, Sawston, Cambridge,  CB22 3HU",CB22 3HU,01223 727555,52.1153761,0.1697528
20,D81044,Nuffield Road Medical Centre,"Nuffield Road, Cambridge, Cambridgeshire, CB4 1GL",CB4 1GL,01223 423424,52.225275178048776,0.15275640975609758
21,D81051,Burwell Surgery,"Newmarket Road,Burwell, Cambridge,  CB25 0AE",CB25 0AE,01638 741234,52.27378496666667,0.3312336
22,D81054,Red House Surgery,"96 Chesterton Road, Cambridge, Cambridgeshire, CB4 1ER",CB4 1ER,01223 365555,52.2149548,0.129319875
23,D81055,Bottisham Medical Practice,"Tunbridge Lane,Bottisham, Cambridge, Cambridgeshire, CB25 9DU",CB25 9DU,01223 810030,52.224603,0.2598231
24,D81056,Petersfield Medical Practice,"25 Mill Road, Cambridge, Cambridgeshire, CB1 2AB",CB1 2AB,01223 350647,52.201468516666665,0.13389210833333332
25,D81058,Harston Surgery,"11 Church Street, Harston, Cambridge,  CB22 7NP",CB22 7NP,01223 870250,52.1381683,0.07340255
26,D81062,Haddenham Surgery,"The Green, Haddenham, Ely, Cambridgeshire, CB6 3TA",CB6 3TA,01353 740205,52.3581566,0.1471249
27,D81066,Queen Edith Medical Practice,"59 Queen Edith'S Way, Cambridge,  CB1 8PJ",CB1 8PJ,01223 247288,52.179743046666665,0.15097892666666665
28,D81070,Woodlands Surgery,"48-49 Bateman Street, Cambridge, Cambridgeshire, CB2 1LR",CB2 1LR,01223 697600,52.19529327272728,0.12843780909090907
29,D81078,Maple Surgery Bar Hill Health Centre,"Hanover Close, Bar Hill, Cambridge, Cambridgeshire, CB23 8EH",CB23 8EH,01954 780442,52.25270125,0.01838205
30,D81084,Willingham Medical Practice,"52 Long Lane,Willingham, Cambridge,  CB24 5LB",CB24 5LB,01954 260230,52.3131236,0.0613098
31,D81085,Papworth Surgery,"Chequers Lane, Papworth Everard, Cambridgeshire, CB23 3QQ",CB23 3QQ,01480 830888,52.2520971,-0.1172839
32,D81086,East Barnwell Health Centre,"Ditton Lane, Cambridge, Cambridgeshire, CB5 8SP",CB5 8SP,01223 728900,52.213980865625,0.167254934375
33,D81602,Cottenham Surgery,"188 High Street,Cottenham, Cambridge,  CB24 8SE",CB24 8SE,01954 250079,52.2892384,0.1246036
34,D81607,Swavesey Surgery,"58 Boxworth End,Swavesey, Cambridge,  CB24 4RA",CB24 4RA,01954 230202,52.2884261,-0.00375995
35,D81612,Milton Surgery,"87 Coles Road, Milton, Cambridgeshire, CB24 6BL",CB24 6BL,01223 420511,52.241897965,0.1623381025
36,D81637,Monkfield Medical Practice,"Sackville Way, Great Cambourne, Cambridgeshire, CB23 6HL",CB23 6HL,01954 282153,52.2187446,-0.0661698
37,Y00056,Cambridge Access Surgery,"125 Newmarket Road, Cambridge, Cambridgeshire, CB5 8HB",CB5 8HB,01223 358961,52.2087054,0.1386611
38,Y00185,Cathedral Medical Centre,"Lynn Road, Ely, Cambridgeshire, CB6 1DN",CB6 1DN,01353 669923,52.4131567,0.27565703333333336
39,Y07024,Sas - C&P - Mkgp Plus Ltd,"Hanover Close, Bar Hill, Cambridge, CB23 8EH",CB23 8EH,01954 780442,52.25270125,0.01838205
