,,,,,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Distance (Kms),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),,,,,,,,
Bakerloo ,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95,1.50,1.50,,,,,,,,
Bakerloo ,Southbound,EMBANKMENT,WATERLOO,0.71,1.43,1.50,1.50,,,,,,,,
Bakerloo ,Southbound,WATERLOO,LAMBETH NORTH,0.63,1.45,2.00,2.00,,,,,,,,
Bakerloo ,Southbound,LAMBETH NORTH,ELEPHANT & CASTLE,0.82,2.57,2.50,2.50,,,,,,,,
Bakerloo ,Northbound,ELEPHANT & CASTLE,LAMBETH NORTH,0.82,2.13,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,LAMBETH NORTH,WATERLOO,0.63,1.45,2.06,2.06,,,,,,,,
Bakerloo ,Northbound,WATERLOO,EMBANKMENT,0.71,1.22,1.50,1.50,,,,,,,,
Bakerloo ,Northbound,EMBANKMENT,CHARING CROSS,0.37,0.97,1.00,1.00,,,,,,,,
Bakerloo ,Northbound,CHARING CROSS,PICCADILLY CIRCUS,0.55,1.60,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,PICCADILLY CIRCUS,OXFORD CIRCUS,0.97,2.02,2.19,2.19,,,,,,,,
Bakerloo ,Northbound,OXFORD CIRCUS,REGENTS PARK,0.87,1.72,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,REGENTS PARK,BAKER STREET,0.88,1.65,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,BAKER STREET,MARYLEBONE,0.50,1.08,1.50,1.50,,,,,,,,
Bakerloo ,Northbound,MARYLEBONE,EDGWARE ROAD,0.45,1.08,1.00,1.00,,,,,,,,
Bakerloo ,Northbound,EDGWARE ROAD,PADDINGTON,0.72,1.62,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,PADDINGTON,WARWICK AVENUE,0.88,1.63,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,WARWICK AVENUE,MAIDA VALE,0.79,1.50,1.50,1.50,,,,,,,,
Bakerloo ,Northbound,MAIDA VALE,KILBURN PARK,0.88,1.48,1.50,1.50,,,,,,,,
Bakerloo ,Northbound,KILBURN PARK,QUEENS PARK,0.79,2.10,2.89,2.89,,,,,,,,
Bakerloo ,Northbound,QUEENS PARK,KENSAL GREEN,1.32,2.83,2.72,2.72,,,,,,,,
Bakerloo ,Northbound,KENSAL GREEN,WILLESDEN JUNCTION,1.50,2.53,3.15,3.15,,,,,,,,
Bakerloo ,Northbound,WILLESDEN JUNCTION,HARLESDEN,1.05,1.63,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,HARLESDEN,STONEBRIDGE PARK,1.53,2.02,2.53,2.53,,,,,,,,
Bakerloo ,Northbound,STONEBRIDGE PARK,WEMBLEY CENTRAL,1.71,2.42,3.17,3.17,,,,,,,,
Bakerloo ,Northbound,WEMBLEY CENTRAL,NORTH WEMBLEY,1.27,1.95,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,NORTH WEMBLEY,SOUTH KENTON,0.90,1.58,1.50,1.50,,,,,,,,
Bakerloo ,Northbound,SOUTH KENTON,KENTON,1.40,2.00,2.00,2.00,,,,,,,,
Bakerloo ,Northbound,KENTON,HARROW & WEALDSTONE,1.74,2.38,3.00,3.00,,,,,,,,
Central ,Eastbound,WEST RUISLIP,RUISLIP GARDENS,2.04,2.28,2.57,2.50,,,,,,,,
Central ,Eastbound,RUISLIP GARDENS,SOUTH RUISLIP,0.87,1.30,1.50,1.50,,,,,,,,
Central ,Eastbound,SOUTH RUISLIP,NORTHOLT,2.29,2.23,2.58,2.50,,,,,,,,
Central ,Eastbound,NORTHOLT,GREENFORD,1.79,1.93,2.00,2.00,,,,,,,,
Central ,Eastbound,GREENFORD,PERIVALE,1.69,1.85,2.33,2.25,,,,,,,,
Central ,Eastbound,PERIVALE,HANGER LANE,2.11,2.10,2.25,2.26,,,,,,,,
Central ,Eastbound,HANGER LANE,NORTH ACTON,2.49,2.85,3.44,3.48,,,,,,,,
Central ,Eastbound,EALING BROADWAY,WEST ACTON,1.53,2.28,2.25,2.25,,,,,,,,
Central ,Eastbound,WEST ACTON,NORTH ACTON,1.77,2.30,2.86,3.26,,,,,,,,
Central ,Eastbound,NORTH ACTON,EAST ACTON,1.11,1.50,1.75,1.75,,,,,,,,
Central ,Eastbound,EAST ACTON,WHITE CITY,2.06,2.57,3.28,3.71,,,,,,,,
Central ,Eastbound,WHITE CITY,SHEPHERDS BUSH,1.16,2.68,2.75,2.75,,,,,,,,
Central ,Eastbound,SHEPHERDS BUSH,HOLLAND PARK,0.87,1.37,1.75,1.75,,,,,,,,
Central ,Eastbound,HOLLAND PARK,NOTTING HILL GATE,0.61,1.08,1.50,1.50,,,,,,,,
Central ,Eastbound,NOTTING HILL GATE,QUEENSWAY,0.69,1.17,1.50,1.50,,,,,,,,
Central ,Eastbound,QUEENSWAY,LANCASTER GATE,0.90,1.35,1.50,1.50,,,,,,,,
Central ,Eastbound,LANCASTER GATE,MARBLE ARCH,1.21,1.92,2.71,2.50,,,,,,,,
Central ,Eastbound,MARBLE ARCH,BOND STREET,0.55,1.00,1.25,1.25,,,,,,,,
Central ,Eastbound,BOND STREET,OXFORD CIRCUS,0.66,1.10,1.50,1.50,,,,,,,,
Central ,Eastbound,OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.58,0.98,1.50,1.50,,,,,,,,
Central ,Eastbound,TOTTENHAM COURT ROAD,HOLBORN,0.89,1.63,2.21,2.01,,,,,,,,
Central ,Eastbound,HOLBORN,CHANCERY LANE,0.40,0.87,1.00,1.00,,,,,,,,
Central ,Eastbound,CHANCERY LANE,ST PAULS,1.03,1.52,2.00,2.00,,,,,,,,
Central ,Eastbound,ST PAULS,BANK,0.74,1.62,2.00,2.00,,,,,,,,
Central ,Eastbound,BANK,LIVERPOOL STREET,0.74,1.62,2.25,2.25,,,,,,,,
Central ,Eastbound,LIVERPOOL STREET,BETHNAL GREEN,2.27,2.60,2.75,2.75,,,,,,,,
Central ,Eastbound,BETHNAL GREEN,MILE END,1.64,1.98,2.25,2.25,,,,,,,,
Central ,Eastbound,MILE END,STRATFORD,2.83,3.18,3.42,3.25,,,,,,,,
Central ,Eastbound,STRATFORD,LEYTON,2.09,2.40,2.75,2.75,,,,,,,,
Central ,Eastbound,LEYTON,LEYTONSTONE,1.63,2.02,2.81,2.76,,,,,,,,
Central ,Eastbound,LEYTONSTONE,WANSTEAD,1.72,2.15,2.25,2.25,,,,,,,,
Central ,Eastbound,WANSTEAD,REDBRIDGE,1.22,1.62,2.00,2.00,,,,,,,,
Central ,Eastbound,REDBRIDGE,GANTS HILL,1.27,1.65,1.75,1.75,,,,,,,,
Central ,Eastbound,GANTS HILL,NEWBURY PARK,2.37,2.68,3.06,2.98,,,,,,,,
Central ,Eastbound,NEWBURY PARK,BARKINGSIDE,1.11,1.55,1.75,1.75,,,,,,,,
Central ,Eastbound,BARKINGSIDE,FAIRLOP,1.22,1.57,1.84,1.79,,,,,,,,
Central ,Eastbound,FAIRLOP,HAINAULT,0.76,2.93,3.89,4.12,,,,,,,,
Central ,Eastbound,LEYTONSTONE,SNARESBROOK,1.58,1.80,2.25,2.25,,,,,,,,
Central ,Eastbound,SNARESBROOK,SOUTH WOODFORD,1.29,1.62,1.75,1.75,,,,,,,,
Central ,Eastbound,SOUTH WOODFORD,WOODFORD,1.80,1.90,2.34,2.26,,,,,,,,
Central ,Inner,RODING VALLEY,WOODFORD,1.34,2.03,2.78,2.22,,,,,,,,
Central ,Inner,CHIGWELL,RODING VALLEY,2.28,2.45,2.77,2.50,,,,,,,,
Central ,Inner,GRANGE HILL,CHIGWELL,1.32,1.63,2.00,2.00,,,,,,,,
Central ,Inner,HAINAULT,GRANGE HILL,1.13,1.73,1.89,1.79,,,,,,,,
Central ,Eastbound,WOODFORD,BUCKHURST HILL,2.32,2.28,2.50,2.50,,,,,,,,
Central ,Eastbound,BUCKHURST HILL,LOUGHTON,1.83,2.35,2.70,2.53,,,,,,,,
Central ,Eastbound,LOUGHTON,DEBDEN,2.03,2.13,2.22,2.25,,,,,,,,
Central ,Eastbound,DEBDEN,THEYDON BOIS,3.35,3.00,3.00,3.00,,,,,,,,
Central ,Eastbound,THEYDON BOIS,EPPING,2.54,2.60,2.76,2.75,,,,,,,,
Central ,Westbound,EPPING,THEYDON BOIS,2.54,2.37,2.50,2.50,,,,,,,,
Central ,Westbound,THEYDON BOIS,DEBDEN,3.35,2.88,3.43,3.25,,,,,,,,
Central ,Westbound,DEBDEN,LOUGHTON,2.03,2.67,2.97,3.40,,,,,,,,
Central ,Westbound,LOUGHTON,BUCKHURST HILL,1.83,2.07,2.53,2.50,,,,,,,,
Central ,Westbound,BUCKHURST HILL,WOODFORD,2.32,2.32,2.53,2.53,,,,,,,,
Central ,Outer,GRANGE HILL,HAINAULT,1.13,1.70,5.28,4.32,,,,,,,,
Central ,Outer,CHIGWELL,GRANGE HILL,1.32,1.73,2.61,2.11,,,,,,,,
Central ,Outer,RODING VALLEY,CHIGWELL,2.28,2.13,2.25,2.25,,,,,,,,
Central ,Outer,WOODFORD,RODING VALLEY,1.34,2.18,2.53,2.50,,,,,,,,
Central ,Westbound,WOODFORD,SOUTH WOODFORD,1.80,1.95,2.25,2.25,,,,,,,,
Central ,Westbound,SOUTH WOODFORD,SNARESBROOK,1.29,1.60,1.75,1.75,,,,,,,,
Central ,Westbound,SNARESBROOK,LEYTONSTONE,1.58,2.05,3.46,3.33,,,,,,,,
Central ,Westbound,HAINAULT,FAIRLOP,0.76,1.82,2.00,2.00,,,,,,,,
Central ,Westbound,FAIRLOP,BARKINGSIDE,1.22,1.57,1.75,1.75,,,,,,,,
Central ,Westbound,BARKINGSIDE,NEWBURY PARK,1.11,1.58,2.25,2.35,,,,,,,,
Central ,Westbound,NEWBURY PARK,GANTS HILL,2.37,2.73,3.00,3.00,,,,,,,,
Central ,Westbound,GANTS HILL,REDBRIDGE,1.27,1.70,2.00,2.00,,,,,,,,
Central ,Westbound,REDBRIDGE,WANSTEAD,1.22,1.58,1.75,1.75,,,,,,,,
Central ,Westbound,WANSTEAD,LEYTONSTONE,1.72,2.17,3.05,3.64,,,,,,,,
Central ,Westbound,LEYTONSTONE,LEYTON,1.63,2.02,2.25,2.25,,,,,,,,
Central ,Westbound,LEYTON,STRATFORD,2.09,2.43,2.96,2.75,,,,,,,,
Central ,Westbound,STRATFORD,MILE END,2.83,3.03,3.00,3.00,,,,,,,,
Central ,Westbound,MILE END,BETHNAL GREEN,1.64,1.97,2.47,2.25,,,,,,,,
Central ,Westbound,BETHNAL GREEN,LIVERPOOL STREET,2.27,2.77,3.48,3.25,,,,,,,,
Central ,Westbound,LIVERPOOL STREET,BANK,0.74,1.65,2.00,2.00,,,,,,,,
Central ,Westbound,BANK,ST PAULS,0.74,1.63,2.00,2.00,,,,,,,,
Central ,Westbound,ST PAULS,CHANCERY LANE,1.03,1.52,1.75,1.75,,,,,,,,
Central ,Westbound,CHANCERY LANE,HOLBORN,0.40,0.85,1.46,1.25,,,,,,,,
Central ,Westbound,HOLBORN,TOTTENHAM COURT ROAD,0.89,1.38,1.75,1.75,,,,,,,,
Central ,Westbound,TOTTENHAM COURT ROAD,OXFORD CIRCUS,0.58,1.02,1.50,1.50,,,,,,,,
Central ,Westbound,OXFORD CIRCUS,BOND STREET,0.66,1.03,1.25,1.25,,,,,,,,
Central ,Westbound,BOND STREET,MARBLE ARCH,0.55,1.02,1.66,1.50,,,,,,,,
Central ,Westbound,MARBLE ARCH,LANCASTER GATE,1.21,1.62,2.00,2.00,,,,,,,,
Central ,Westbound,LANCASTER GATE,QUEENSWAY,0.90,1.65,1.75,1.75,,,,,,,,
Central ,Westbound,QUEENSWAY,NOTTING HILL GATE,0.69,1.18,1.50,1.50,,,,,,,,
Central ,Westbound,NOTTING HILL GATE,HOLLAND PARK,0.61,1.18,1.50,1.50,,,,,,,,
Central ,Westbound,HOLLAND PARK,SHEPHERDS BUSH,0.87,1.52,1.75,1.75,,,,,,,,
Central ,Westbound,SHEPHERDS BUSH,WHITE CITY,1.16,2.77,3.74,3.97,,,,,,,,
Central ,Westbound,WHITE CITY,EAST ACTON,2.06,2.67,3.00,3.00,,,,,,,,
Central ,Westbound,EAST ACTON,NORTH ACTON,1.11,1.57,2.12,2.54,,,,,,,,
Central ,Westbound,NORTH ACTON,WEST ACTON,1.77,2.52,2.85,2.76,,,,,,,,
Central ,Westbound,WEST ACTON,EALING BROADWAY,1.53,3.07,2.76,2.82,,,,,,,,
Central ,Westbound,NORTH ACTON,HANGER LANE,2.49,2.87,3.15,3.00,,,,,,,,
Central ,Westbound,HANGER LANE,PERIVALE,2.11,2.07,2.28,2.25,,,,,,,,
Central ,Westbound,PERIVALE,GREENFORD,1.69,2.00,2.27,2.25,,,,,,,,
Central ,Westbound,GREENFORD,NORTHOLT,1.79,2.15,2.37,2.28,,,,,,,,
Central ,Westbound,NORTHOLT,SOUTH RUISLIP,2.29,2.25,2.52,2.50,,,,,,,,
Central ,Westbound,SOUTH RUISLIP,RUISLIP GARDENS,0.87,1.37,2.09,1.54,,,,,,,,
Central ,Westbound,RUISLIP GARDENS,WEST RUISLIP,2.04,2.68,2.86,2.75,,,,,,,,
Victoria,Southbound,WALTHAMSTOW,BLACKHORSE ROAD,1.45,2.12,2.00,2.00,,,,,,,,
Victoria,Southbound,BLACKHORSE ROAD,TOTTENHAM HALE,1.37,1.90,2.36,2.00,,,,,,,,
Victoria,Southbound,TOTTENHAM HALE,SEVEN SISTERS,1.05,2.00,2.77,3.28,,,,,,,,
Victoria,Southbound,SEVEN SISTERS,FINSBURY PARK,3.15,3.77,4.00,4.00,,,,,,,,
Victoria,Southbound,FINSBURY PARK,HIGHBURY,1.93,2.90,2.89,2.55,,,,,,,,
Victoria,Southbound,HIGHBURY,KINGS CROSS,2.45,2.77,3.50,3.50,,,,,,,,
Victoria,Southbound,KINGS CROSS,EUSTON,0.74,1.32,1.92,1.50,,,,,,,,
Victoria,Southbound,EUSTON,WARREN STREET,0.76,1.30,1.50,1.50,,,,,,,,
Victoria,Southbound,WARREN STREET,OXFORD CIRCUS,0.90,1.72,2.44,2.00,,,,,,,,
Victoria,Southbound,OXFORD CIRCUS,GREEN PARK,1.14,1.78,2.00,2.04,,,,,,,,
Victoria,Southbound,GREEN PARK,VICTORIA,1.09,1.88,2.50,2.54,,,,,,,,
Victoria,Southbound,VICTORIA,PIMLICO,1.19,1.83,2.00,2.00,,,,,,,,
Victoria,Southbound,PIMLICO,VAUXHALL,0.80,1.40,1.50,1.54,,,,,,,,
Victoria,Southbound,VAUXHALL,STOCKWELL,1.77,2.30,2.94,2.52,,,,,,,,
Victoria,Southbound,STOCKWELL,BRIXTON,1.46,2.03,2.50,2.50,,,,,,,,
Victoria,Northbound,BRIXTON,STOCKWELL,1.46,2.18,2.45,2.00,,,,,,,,
Victoria,Northbound,STOCKWELL,VAUXHALL,1.77,2.23,2.50,2.50,,,,,,,,
Victoria,Northbound,VAUXHALL,PIMLICO,0.80,1.37,1.50,1.50,,,,,,,,
Victoria,Northbound,PIMLICO,VICTORIA,1.19,2.18,2.97,2.51,,,,,,,,
Victoria,Northbound,VICTORIA,GREEN PARK,1.09,1.95,2.00,2.00,,,,,,,,
Victoria,Northbound,GREEN PARK,OXFORD CIRCUS,1.14,1.97,2.47,2.02,,,,,,,,
Victoria,Northbound,OXFORD CIRCUS,WARREN STREET,0.90,1.53,2.48,2.04,,,,,,,,
Victoria,Northbound,WARREN STREET,EUSTON,0.76,1.32,1.50,1.50,,,,,,,,
Victoria,Northbound,EUSTON,KINGS CROSS,0.74,1.35,2.00,2.00,,,,,,,,
Victoria,Northbound,KINGS CROSS,HIGHBURY,2.45,2.87,3.00,3.00,,,,,,,,
Victoria,Northbound,HIGHBURY,FINSBURY PARK,1.93,2.40,2.97,2.56,,,,,,,,
Victoria,Northbound,FINSBURY PARK,SEVEN SISTERS,3.15,4.25,5.34,5.76,,,,,,,,
Victoria,Northbound,SEVEN SISTERS,TOTTENHAM HALE,1.05,1.60,1.50,1.50,,,,,,,,
Victoria,Northbound,TOTTENHAM HALE,BLACKHORSE ROAD,1.37,1.97,2.50,2.50,,,,,,,,
Victoria,Northbound,BLACKHORSE ROAD,WALTHAMSTOW,1.45,2.12,2.04,2.01,,,,,,,,
Waterloo & City,Eastbound,WATERLOO,BANK,2.37,4.87,4.00,4.00,,,,,,,,
Waterloo & City,Westbound,BANK,WATERLOO,2.37,4.20,3.75,3.75,,,,,,,,
Jubilee ,Eastbound,STANMORE,CANONS PARK,1.27,1.95,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,CANONS PARK,QUEENSBURY,1.71,1.93,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,QUEENSBURY,KINGSBURY,1.33,1.72,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,KINGSBURY,WEMBLEY PARK,2.85,3.47,4.73,4.56,,,,,,,,
Jubilee ,Eastbound,WEMBLEY PARK,NEASDEN,2.28,2.60,3.03,3.01,,,,,,,,
Jubilee ,Eastbound,NEASDEN,DOLLIS HILL,0.85,1.43,1.50,1.50,,,,,,,,
Jubilee ,Eastbound,DOLLIS HILL,WILLESDEN GREEN,1.21,1.80,2.11,2.14,,,,,,,,
Jubilee ,Eastbound,WILLESDEN GREEN,KILBURN,1.19,1.68,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,KILBURN,WEST HAMPSTEAD,1.09,1.63,2.50,2.00,,,,,,,,
Jubilee ,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD,0.61,1.25,1.50,1.50,,,,,,,,
Jubilee ,Eastbound,FINCHLEY ROAD,SWISS COTTAGE,0.61,1.18,1.50,1.50,,,,,,,,
Jubilee ,Eastbound,SWISS COTTAGE,ST JOHNS WOOD,0.92,1.52,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,ST JOHNS WOOD,BAKER STREET,2.06,2.77,3.50,3.50,,,,,,,,
Jubilee ,Eastbound,BAKER STREET,BOND STREET,1.66,2.10,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,BOND STREET,GREEN PARK,1.37,1.78,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,GREEN PARK,WESTMINSTER,1.33,1.87,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,WESTMINSTER,WATERLOO,0.96,1.38,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,WATERLOO,SOUTHWARK,0.44,1.02,1.00,1.00,,,,,,,,
Jubilee ,Eastbound,SOUTHWARK,LONDON BRIDGE,1.25,1.65,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,LONDON BRIDGE,BERMONDSEY,1.93,2.25,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,BERMONDSEY,CANADA WATER,1.06,1.48,2.00,2.00,,,,,,,,
Jubilee ,Eastbound,CANADA WATER,CANARY WHARF,2.41,2.50,3.00,3.02,,,,,,,,
Jubilee ,Eastbound,CANARY WHARF,NORTH GREENWICH,1.71,2.23,3.19,3.49,,,,,,,,
Jubilee ,Eastbound,NORTH GREENWICH,CANNING TOWN,1.71,2.15,2.50,2.50,,,,,,,,
Jubilee ,Eastbound,CANNING TOWN,WEST HAM,1.58,2.15,2.93,2.58,,,,,,,,
Jubilee ,Eastbound,WEST HAM,STRATFORD,1.54,3.15,4.90,3.77,,,,,,,,
Jubilee ,Westbound,STRATFORD,WEST HAM,1.54,2.42,3.50,3.12,,,,,,,,
Jubilee ,Westbound,WEST HAM,CANNING TOWN,1.58,2.13,2.50,2.50,,,,,,,,
Jubilee ,Westbound,CANNING TOWN,NORTH GREENWICH,1.71,2.17,3.07,2.99,,,,,,,,
Jubilee ,Westbound,NORTH GREENWICH,CANARY WHARF,1.71,1.98,2.55,2.50,,,,,,,,
Jubilee ,Westbound,CANARY WHARF,CANADA WATER,2.41,2.63,3.00,3.00,,,,,,,,
Jubilee ,Westbound,CANADA WATER,BERMONDSEY,1.06,1.52,2.00,2.00,,,,,,,,
Jubilee ,Westbound,BERMONDSEY,LONDON BRIDGE,1.93,2.17,2.50,2.50,,,,,,,,
Jubilee ,Westbound,LONDON BRIDGE,SOUTHWARK,1.25,1.77,2.00,2.00,,,,,,,,
Jubilee ,Westbound,SOUTHWARK,WATERLOO,0.44,0.97,1.50,1.50,,,,,,,,
Jubilee ,Westbound,WATERLOO,WESTMINSTER,0.96,1.43,2.44,2.01,,,,,,,,
Jubilee ,Westbound,WESTMINSTER,GREEN PARK,1.33,1.82,2.00,2.01,,,,,,,,
Jubilee ,Westbound,GREEN PARK,BOND STREET,1.37,1.82,2.50,2.50,,,,,,,,
Jubilee ,Westbound,BOND STREET,BAKER STREET,1.66,2.28,2.50,2.50,,,,,,,,
Jubilee ,Westbound,BAKER STREET,ST JOHNS WOOD,2.06,2.85,3.50,3.50,,,,,,,,
Jubilee ,Westbound,ST JOHNS WOOD,SWISS COTTAGE,0.92,1.52,1.50,1.50,,,,,,,,
Jubilee ,Westbound,SWISS COTTAGE,FINCHLEY ROAD,0.61,1.18,2.00,2.00,,,,,,,,
Jubilee ,Westbound,FINCHLEY ROAD,WEST HAMPSTEAD,0.61,1.20,1.50,1.51,,,,,,,,
Jubilee ,Westbound,WEST HAMPSTEAD,KILBURN,1.09,1.55,2.00,2.00,,,,,,,,
Jubilee ,Westbound,KILBURN,WILLESDEN GREEN,1.19,2.07,2.32,2.22,,,,,,,,
Jubilee ,Westbound,WILLESDEN GREEN,DOLLIS HILL,1.21,1.67,2.00,2.00,,,,,,,,
Jubilee ,Westbound,DOLLIS HILL,NEASDEN,0.85,1.38,1.62,1.50,,,,,,,,
Jubilee ,Westbound,NEASDEN,WEMBLEY PARK,2.28,2.65,3.76,3.53,,,,,,,,
Jubilee ,Westbound,WEMBLEY PARK,KINGSBURY,2.85,3.47,4.00,4.00,,,,,,,,
Jubilee ,Westbound,KINGSBURY,QUEENSBURY,1.33,1.85,2.00,2.00,,,,,,,,
Jubilee ,Westbound,QUEENSBURY,CANONS PARK,1.71,2.23,2.50,2.50,,,,,,,,
Jubilee ,Westbound,CANONS PARK,STANMORE,1.27,2.87,3.24,3.09,,,,,,,,
Northern ,Southbound,EDGWARE,BURNT OAK,1.48,2.43,2.50,2.50,,,,,,,,
Northern ,Southbound,BURNT OAK,COLINDALE,1.32,1.98,2.50,2.50,,,,,,,,
Northern ,Southbound,COLINDALE,HENDON CENTRAL,2.11,2.83,3.00,3.00,,,,,,,,
Northern ,Southbound,HENDON CENTRAL,BRENT CROSS,1.11,1.73,2.00,2.00,,,,,,,,
Northern ,Southbound,BRENT CROSS,GOLDERS GREEN,1.56,2.57,3.03,3.64,,,,,,,,
Northern ,Southbound,GOLDERS GREEN,HAMPSTEAD,2.35,3.42,3.50,3.50,,,,,,,,
Northern ,Southbound,HAMPSTEAD,BELSIZE PARK,1.21,1.82,2.00,2.00,,,,,,,,
Northern ,Southbound,BELSIZE PARK,CHALK FARM,1.11,1.77,2.00,2.00,,,,,,,,
Northern ,Southbound,CHALK FARM,CAMDEN TOWN,0.85,1.53,2.62,2.56,,,,,,,,
Northern ,Southbound,HIGH BARNET,TOTTERIDGE & WHETSTONE,2.48,3.67,3.50,3.50,,,,,,,,
Northern ,Southbound,TOTTERIDGE & WHETSTONE,WOODSIDE PARK,1.51,2.23,2.50,2.50,,,,,,,,
Northern ,Southbound,WOODSIDE PARK,WEST FINCHLEY,0.98,1.70,1.50,1.50,,,,,,,,
Northern ,Southbound,WEST FINCHLEY,FINCHLEY CENTRAL,1.14,2.08,3.13,2.51,,,,,,,,
Northern ,Southbound,MILL HILL EAST,FINCHLEY CENTRAL,1.53,2.75,3.27,3.00,,,,,,,,
Northern ,Southbound,FINCHLEY CENTRAL,EAST FINCHLEY,2.43,3.37,3.50,3.50,,,,,,,,
Northern ,Southbound,EAST FINCHLEY,HIGHGATE,1.64,3.00,3.00,3.00,,,,,,,,
Northern ,Southbound,HIGHGATE,ARCHWAY,1.71,2.80,3.00,3.00,,,,,,,,
Northern ,Southbound,ARCHWAY,TUFNELL PARK,0.89,1.60,1.50,1.50,,,,,,,,
Northern ,Southbound,TUFNELL PARK,KENTISH TOWN,0.80,1.42,1.50,1.50,,,,,,,,
Northern ,Southbound,KENTISH TOWN,CAMDEN TOWN,1.16,1.93,3.08,3.08,,,,,,,,
Northern ,Southbound,CAMDEN TOWN,MORNINGTON CRESCENT,0.64,1.63,1.50,1.50,,,,,,,,
Northern ,Southbound,MORNINGTON CRESCENT,EUSTON (CX),0.82,1.52,2.00,2.00,,,,,,,,
Northern ,Southbound,EUSTON (CX),WARREN STREET,0.58,1.18,1.50,1.50,,,,,,,,
Northern ,Southbound,WARREN STREET,GOODGE STREET,0.47,1.07,1.50,1.50,,,,,,,,
Northern ,Southbound,GOODGE STREET,TOTTENHAM COURT ROAD,0.63,1.32,1.73,1.50,,,,,,,,
Northern ,Southbound,TOTTENHAM COURT ROAD,LEICESTER SQUARE,0.40,0.98,1.00,1.00,,,,,,,,
Northern ,Southbound,LEICESTER SQUARE,CHARING CROSS,0.47,1.20,1.99,1.50,,,,,,,,
